application,feature_group,model,accuracy,f1,roc_auc,train_time_sec,inference_time_sec,n_train,n_test
co2_capture,precursor_only,logistic_regression,0.756578947368421,0.3967391304347826,0.7387914230019492,0.1179004000000532,0.0021790999999211635,4253,912
co2_capture,precursor_only,random_forest,0.7763157894736842,0.46875,0.7781689237714168,1.1497331000000486,0.12608430000000226,4253,912
co2_capture,precursor_only,xgboost,0.7708333333333334,0.4681933842239186,0.7722183748845799,1.7604833999998846,0.007323499999984051,4253,912
co2_capture,descriptor_only,logistic_regression,0.7598684210526315,0.26755852842809363,0.7047617215553506,0.4792403999999806,0.0008727999997972802,4253,912
co2_capture,descriptor_only,random_forest,0.793859649122807,0.5078534031413613,0.7962321740022571,0.7345341999998709,0.1258671000000504,4253,912
co2_capture,descriptor_only,xgboost,0.8092105263157895,0.5372340425531915,0.7910575048732944,0.30749439999999595,0.004624499999863474,4253,912
co2_capture,precursor_descriptor,logistic_regression,0.7598684210526315,0.42216358839050133,0.7553990971580998,2.049015000000054,0.0011446000003161316,4253,912
co2_capture,precursor_descriptor,random_forest,0.7960526315789473,0.5026737967914439,0.8051900584795322,1.0799498000001222,0.1283026000000973,4253,912
co2_capture,precursor_descriptor,xgboost,0.7971491228070176,0.5268542199488491,0.798149430594029,0.5224822999998651,0.008136200000080862,4253,912
ch4_storage,precursor_only,logistic_regression,0.7839912280701754,0.4856396866840731,0.8004738637529496,0.15506980000009207,0.0025831000002654037,4253,912
ch4_storage,precursor_only,random_forest,0.8410087719298246,0.6329113924050633,0.8601973684210527,1.0538348000000042,0.1290542000001551,4253,912
ch4_storage,precursor_only,xgboost,0.8245614035087719,0.5918367346938775,0.8530573509797887,0.3743392000001222,0.006904200000008132,4253,912
ch4_storage,descriptor_only,logistic_regression,0.7927631578947368,0.4148606811145511,0.7839687852672617,0.525412999999844,0.0006408999997802312,4253,912
ch4_storage,descriptor_only,random_forest,0.8103070175438597,0.5620253164556962,0.8298354621934954,0.7385610000001179,0.12660959999993793,4253,912
ch4_storage,descriptor_only,xgboost,0.8322368421052632,0.6086956521739131,0.8558819380322149,0.3057632999998532,0.005107499999667198,4253,912
ch4_storage,precursor_descriptor,logistic_regression,0.8081140350877193,0.5358090185676393,0.8217817020621729,2.2057168000001184,0.0011693000001287146,4253,912
ch4_storage,precursor_descriptor,random_forest,0.8432017543859649,0.6451612903225806,0.8665743305632502,1.0829294000000118,0.12849169999981314,4253,912
ch4_storage,precursor_descriptor,xgboost,0.8486842105263158,0.6584158415841584,0.8708993792961937,0.5421003000001292,0.007770700000037323,4253,912
